Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms)
pop,0.917,0.588,-11.047,0.0607,0.195,0.0914,110.077,184480.0
pop,0.746,0.592,-6.861,0.0914,0.462,0.187,160.065,162094.0
pop,0.667,0.583,-5.127,0.0747,0.231,0.181,92.043,181806.0
hip hop,0.642,0.669,-5.774,0.0486,0.318,0.119,156.084,175067.0
pop,0.737,0.828,-4.711,0.0396,0.0149,0.0862,124.051,208474.0
pop,0.778,0.824,-5.892,0.0707,0.284,0.405,100.024,218093.0
pop,0.74,0.498,-6.684,0.0456,0.0169,0.319,98.016,207039.0
rap,0.889,0.496,-6.365,0.0905,0.259,0.252,86.003,180522.0
pop,0.61,0.83,-4.105,0.0571,0.033,0.118,182.162,193000.0
pop,0.703,0.594,-6.146,0.0752,0.342,0.123,153.848,114893.0
rap,0.796,0.586,-6.946,0.147,0.0247,0.132,97.981,200107.0
rap,0.932,0.547,-7.787,0.333,0.0388,0.0924,94.998,176640.0
hip hop,0.68,0.82,-4.197,0.151,0.0614,0.597,140.033,234653.0
rap,0.742,0.553,-8.98,0.419,0.389,0.0694,84.931,209440.0
pop,0.668,0.684,-5.937,0.0527,0.627,0.923,108.138,187986.0
hip hop,0.852,0.752,-5.793,0.0597,0.0169,0.394,89.95,216600.0
hip hop,0.784,0.703,-7.491,0.236,0.0973,0.0754,141.035,162938.0
hip hop,0.661,0.748,-4.809,0.206,0.175,0.254,171.983,265947.0
hip hop,0.707,0.747,-5.212,0.279,0.307,0.183,80.025,197861.0
rap,0.742,0.731,-4.362,0.306,0.0851,0.131,174.019,183143.0
pop,0.753,0.564,-7.908,0.251,0.114,0.359,77.341,162596.0
rap,0.933,0.448,-4.491,0.136,0.0253,0.104,103.981,167350.0
rap,0.594,0.798,-5.244,0.0844,0.115,0.143,142.049,191840.0
latin,0.777,0.712,-4.84,0.277,0.217,0.091,95.692,175733.0
pop,0.59,0.642,-3.87,0.122,0.0771,0.105,107.356,174444.0
hip hop,0.72,0.767,-5.839,0.214,0.0387,0.202,88.966,194707.0
hip hop,0.847,0.637,-5.193,0.367,0.0258,0.382,165.979,173893.0
rap,0.699,0.503,-9.922,0.0882,0.391,0.0996,114.86,220853.0
hip hop,0.756,0.747,-5.407,0.046,0.0048,0.588,134.935,200947.0
rap,0.831,0.36,-8.073,0.052,0.136,0.0703,75.014,232212.0
hip hop,0.848,0.745,-3.052,0.221,0.0949,0.0796,137.024,170227.0
hip hop,0.871,0.493,-6.356,0.205,0.0134,0.385,144.989,200573.0
hip hop,0.779,0.805,-3.121,0.178,0.018,0.321,145.68,213413.0
hip hop,0.458,0.966,-2.107,0.384,0.14,0.11,183.586,286960.0
hip hop,0.747,0.899,-5.125,0.246,0.1,0.486,92.029,177547.0
rap,0.779,0.362,-10.847,0.0474,0.135,0.111,85.011,286387.0
hip hop,0.89,0.664,-6.625,0.106,0.00487,0.257,93.007,247733.0
rap,0.875,0.599,-9.077,0.138,0.0333,0.113,152.061,256507.0
hip hop,0.769,0.811,-4.162,0.228,0.0234,0.0451,155.081,177293.0
pop,0.708,0.661,-6.543,0.0546,0.0396,0.113,102.046,211784.0
rap,0.583,0.499,-10.086,0.0261,0.591,0.33,155.199,217868.0
hip hop,0.791,0.535,-6.753,0.311,0.0448,0.129,158.922,173785.0
rap,0.739,0.627,-8.608,0.171,0.0459,0.159,74.962,199981.0
pop,0.916,0.57,-6.278,0.18,0.0286,0.0851,110.05,169702.0
pop,0.776,0.713,-6.121,0.143,0.525,0.306,127.987,193453.0
pop,0.695,0.573,-8.882,0.167,0.132,0.156,100.031,192172.0
pop,0.784,0.552,-7.261,0.0871,0.0447,0.192,111.984,170498.0
pop,0.873,0.51,-5.35,0.0661,0.565,0.0738,110.953,148776.0
pop,0.695,0.62,-8.082,0.0521,0.0881,0.111,150.032,194900.0
pop,0.665,0.712,-7.536,0.0527,0.00103,0.102,93.992,157220.0
pop,0.591,0.841,-4.351,0.0304,0.0119,0.395,109.034,158805.0
pop,0.826,0.571,-9.263,0.0426,0.249,0.215,121.06,189145.0
pop,0.583,0.777,-6.991,0.185,0.109,0.108,190.054,263306.0
rap,0.748,0.648,-6.445,0.0816,0.484,0.126,139.952,123560.0
rap,0.499,0.8,-2.665,0.0502,0.0906,0.147,139.919,229573.0
rap,0.757,0.673,-8.513,0.141,0.095,0.338,92.958,185806.0
rap,0.886,0.479,-8.054,0.334,0.077,0.135,130.029,158692.0
rap,0.785,0.753,-3.841,0.0873,0.188,0.265,94.012,199301.0
pop,0.674,0.881,-2.853,0.147,0.296,0.0793,98.994,178480.0
rap,0.802,0.82,-5.969,0.146,0.0579,0.149,164.005,172196.0
pop,0.826,0.773,-4.218,0.0524,0.323,0.143,126.899,238200.0
pop,0.855,0.294,-8.676,0.286,0.3,0.091,139.745,182017.0
pop,0.691,0.446,-10.304,0.0472,0.484,0.183,93.03,212436.0
pop,0.697,0.683,-2.881,0.117,0.0372,0.137,96.133,186987.0
pop,0.842,0.801,-4.167,0.228,0.157,0.0642,95.881,212500.0
pop,0.584,0.607,-6.605,0.0356,0.426,0.101,117.817,194827.0
rap,0.859,0.6,-4.63,0.301,0.071,0.353,123.017,244761.0
rap,0.75,0.789,-4.578,0.108,0.253,0.129,147.957,157133.0
rap,0.643,0.594,-5.191,0.0312,0.0695,0.115,118.037,250142.0
rap,0.773,0.836,-2.326,0.153,0.283,0.0828,112.01,201271.0
rap,0.746,0.717,-4.841,0.179,0.199,0.132,150.964,179133.0
hip hop,0.941,0.758,-6.47,0.17,0.0256,0.193,128.017,157093.0
pop,0.77,0.882,-4.792,0.0602,0.194,0.316,99.991,223523.0
pop,0.791,0.862,-3.24,0.11,0.037,0.0814,123.994,214847.0
latin,0.695,0.719,-5.938,0.0903,0.227,0.0884,180.074,175187.0
pop,0.619,0.459,-5.782,0.0334,0.56,0.137,126.803,184280.0
rap,0.594,0.676,-5.808,0.344,0.135,0.163,143.477,181145.0
pop,0.689,0.516,-5.857,0.0444,0.513,0.163,124.876,190920.0
pop,0.826,0.73,-3.032,0.0809,0.383,0.0197,150.134,157600.0
pop,0.878,0.619,-5.56,0.102,0.0533,0.113,136.041,157067.0
rap,0.635,0.537,-7.895,0.0832,0.172,0.418,125.028,215381.0
pop,0.932,0.778,-3.384,0.0638,0.212,0.168,124.996,188613.0
pop,0.762,0.7,-6.021,0.0694,0.00261,0.153,116.073,209320.0
pop,0.528,0.87,-3.123,0.0851,0.24,0.333,152.37,181930.0
pop,0.765,0.523,-4.333,0.03,0.184,0.132,104.988,217307.0
pop,0.832,0.55,-7.026,0.0587,0.249,0.182,154.064,152784.0
pop,0.448,0.603,-7.176,0.064,0.433,0.0862,205.272,221307.0
